Constituency,MP,Winning party,Electorate,Valid votes,Majority,Majority (%),Con,Lab,LD
North Warwickshire,Craig Tracey,Con,70271,45914,17956,39%,30249,12293,2069
South West Wiltshire,Andrew Murrison,Con,77969,54895,21630,39%,33038,11408,8015
Wallasey,Angela Eagle,Lab,66310,46492,18322,39%,11579,29901,1843
Hereford and South Herefordshire,Jesse Norman,Con,72085,49646,19686,40%,30390,10704,6181
Edmonton,Kate Osamor,Lab,65747,40341,16015,40%,10202,26217,2145
Newark,Robert Jenrick,Con,75850,54762,21816,40%,34660,12844,5308
Ashford,Damian Green,Con,89553,60059,24029,40%,37270,13241,6048
Stone,William Cash,Con,69378,49843,19945,40%,31687,11742,4412
South West Devon,Gary Streeter,Con,72535,53367,21430,40%,33286,11856,6207
Mid Norfolk,George Freeman,Con,82203,56186,22594,40%,35051,12457,7739
North West Cambridgeshire,Shailesh Vara,Con,94909,64533,25983,40%,40307,14324,6881
East Surrey,Claire Coutinho,Con,83148,59690,24040,40%,35624,8247,11584
Bury St Edmunds,Jo Churchill,Con,89644,61957,24988,40%,37770,12782,0
Skipton and Ripon,Julian Smith,Con,78347,58724,23694,40%,34919,11225,8701
Charnwood,Edward Argar,Con,79534,55365,22397,40%,35121,12724,4856
North Shropshire,Owen Paterson,Con,83258,56513,22949,41%,35444,12495,5643
Great Yarmouth,Brandon Lewis,Con,71957,43462,17663,41%,28593,10930,1661
Tiverton and Honiton,Neil Parish,Con,82953,59613,24239,41%,35893,11654,8807
Hertsmere,Oliver Dowden,Con,73971,52203,21313,41%,32651,11338,6561
Haltemprice and Howden,David Davis,Con,71083,49779,20329,41%,31045,10716,5215
Sevenoaks,Laura Trott,Con,71757,50956,20818,41%,30932,6946,10114
Blackburn,Kate Hollern,Lab,71234,44736,18304,41%,10736,29040,1130
Bradford East,Imran Hussain,Lab,73206,44184,18144,41%,9681,27825,3316
Halton,Derek Twigg,Lab,71930,46203,18975,41%,10358,29333,1800
Old Bexley and Sidcup,James Brokenshire,Con,66104,46145,18952,41%,29786,10834,3822
Cardiff Central,Jo Stevens,Lab,64037,41822,17179,41%,8426,25605,6298
Lewisham West and Penge,Ellie Reeves,Lab,74617,52100,21543,41%,10317,31860,6260
South Northamptonshire,Andrea Leadsom,Con,90842,66908,27761,41%,41755,13994,7891
Central Suffolk and North Ipswich,Dan Poulter,Con,80037,56250,23391,42%,35253,11862,6485
South Leicestershire,Alberto Costa,Con,80520,57469,24004,42%,36791,12787,5452
Birkenhead,Mick Whitley,Lab,63762,42329,17705,42%,5540,24990,1620
Torridge and West Devon,Geoffrey Cox,Con,80403,59730,24992,42%,35904,10290,10912
Wealden,Nusrat Ghani,Con,82998,60907,25655,42%,37043,9377,11388
Maidstone and The Weald,Helen Grant,Con,76109,51680,21772,42%,31220,9448,8482
Meriden,Saqib Bhatti,Con,85368,54161,22836,42%,34358,11522,5614
Wyre Forest,Mark Garnier,Con,78077,50561,21413,42%,32960,11547,4081
Bridgwater and West Somerset,Ian Liddell-Grainger,Con,85327,57652,24439,42%,35827,11388,7805
Broxbourne,Charles Walker,Con,73182,46706,19807,42%,30631,10824,3970
Brent Central,Dawn Butler,Lab,84032,49132,20870,42%,10909,31779,4844
Dudley South,Mike Wood,Con,60731,36576,15565,43%,24835,9270,1608
Bromsgrove,Sajid Javid,Con,75078,54272,23106,43%,34408,11302,6779
West Worcestershire,Harriett Baldwin,Con,76241,57530,24499,43%,34909,9496,10410
Tamworth,Christopher Pincher,Con,71572,46056,19634,43%,30542,10908,2426
North West Norfolk,James Wild,Con,72080,46602,19922,43%,30627,10705,3625
Chatham and Aylesford,Tracey Crouch,Con,71642,43340,18540,43%,28856,10316,2866
South Suffolk,James Cartlidge,Con,76201,53489,22897,43%,33270,10373,6702
Cannock Chase,Amanda Milling,Con,74813,46313,19879,43%,31636,11757,0
Meon Valley,Flick Drummond,Con,75737,54829,23555,43%,35271,5644,11716
East Yorkshire,Greg Knight,Con,80923,52769,22787,43%,33988,11201,4219
Hornchurch and Upminster,Julia Lopez,Con,80765,53974,23308,43%,35495,12187,3862
North Dorset,Simon Hoare,Con,76765,56107,24301,43%,35705,6737,11404
Nottingham East,Nadia Whittome,Lab,66262,40004,17393,43%,8342,25735,1954
Faversham and Mid Kent,Helen Whately,Con,73403,50394,21976,44%,31864,9888,6170
Chorley,Lindsay Hoyle,Spk,77072,39870,17392,44%,0,0,0
Saffron Walden,Kemi Badenoch,Con,87017,63086,27594,44%,39714,8305,12120
Lichfield,Michael Fabricant,Con,76616,53993,23638,44%,34844,11206,5632
Bognor Regis and Littlehampton,Nick Gibb,Con,77446,51223,22503,44%,32521,10018,5645
South Basildon and East Thurrock,Stephen Metcalfe,Con,74441,45297,19922,44%,29973,10051,1957
Bexhill and Battle,Huw Merriman,Con,81963,59093,26059,44%,37590,11531,7280
Epping Forest,Eleanor Laing,Con,74304,50268,22173,44%,32364,10191,5387
Croydon North,Steve Reed,Lab,88468,55609,24673,44%,11822,36495,4476
Thirsk and Malton,Kevin Hollinrake,Con,80991,56588,25154,44%,35634,10480,6774
North West Hampshire,Kit Malthouse,Con,83083,58918,26308,45%,36591,9327,10283
Gainsborough,Edward Leigh,Con,76343,51046,22967,45%,33893,10926,5157
Ilford South,Sam Tarry,Lab,84972,53477,24101,45%,10984,35085,1795
West Suffolk,Matthew Hancock,Con,80193,51437,23194,45%,33842,10648,4685
Leicester South,Jonathan Ashworth,Lab,77708,50147,22675,45%,10931,33606,2754
Daventry,Chris Heaton-Harris,Con,77423,57403,26080,45%,37055,10975,7032
Fareham,Suella Braverman,Con,78337,57250,26086,46%,36459,10373,8006
Orpington,Gareth Bacon,Con,68877,48721,22378,46%,30882,8504,7552
Rutland and Melton,Alicia Kearns,Con,82705,58310,26924,46%,36507,9583,7970
Cleethorpes,Martin Vickers,Con,73689,46339,21418,46%,31969,10551,2535
Basildon and Billericay,John Baron,Con,69906,44128,20412,46%,29590,9178,3741
Grantham and Stamford,Gareth Davies,Con,81502,56003,26003,46%,36794,10791,6153
Bosworth,Luke Evans,Con,81542,56432,26278,47%,36056,9778,9096
Leyton and Wanstead,John Cryer,Lab,64852,44547,20808,47%,8028,28836,4666
Ludlow,Philip Dunne,Con,69444,50225,23648,47%,32185,7591,8537
Devizes,Danny Kruger,Con,73372,50954,23993,47%,32150,7838,8157
Richmond (Yorks),Rishi Sunak,Con,82569,57703,27210,47%,36693,9483,6989
Poplar and Limehouse,Apsana Begum,Lab,91836,61276,28904,47%,9756,38660,8832
Tonbridge and Malling,Thomas Tugendhat,Con,79278,57003,26941,47%,35784,8286,8843
Christchurch,Christopher Chope,Con,71520,51951,24617,47%,33894,6568,9277
Havant,Alan Mak,Con,72103,45959,21792,47%,30051,8259,5708
Sittingbourne and Sheppey,Gordon Henderson,Con,83917,51394,24479,48%,34742,10263,3213
Gosport,Caroline Dinenage,Con,73541,48453,23278,48%,32226,8948,5473
New Forest West,Desmond Swayne,Con,70869,50306,24403,49%,32113,6595,7710
Islington North,Jeremy Corbyn,Lab,75162,53805,26188,49%,5483,34603,8415
North Herefordshire,Bill Wiggin,Con,70252,51033,24856,49%,32158,6804,7302
Witham,Priti Patel,Con,70402,49344,24082,49%,32876,8794,4584
Braintree,James Cleverly,Con,75208,50499,24673,49%,34112,9439,4779
Holborn and St Pancras,Keir Starmer,Lab,86061,56786,27763,49%,8878,36641,7314
Sleaford and North Hykeham,Caroline Johnson,Con,94761,66554,32565,49%,44683,12118,5355
Dulwich and West Norwood,Helen Hayes,Lab,80331,55778,27310,49%,9160,36521,0
New Forest East,Julian Lewis,Con,73549,50786,25251,50%,32769,7518,7390
Mid Worcestershire,Nigel Huddleston,Con,78220,56123,28018,50%,37426,9408,6474
Aldridge-Brownhills,Wendy Morton,Con,60138,39342,19836,50%,27850,8014,2371
Brigg and Goole,Andrew Percy,Con,65939,43402,21941,51%,30941,9000,2180
South West Norfolk,Elizabeth Truss,Con,78455,51466,26195,51%,35507,9312,4166
"Manchester, Withington",Jeff Smith,Lab,76530,52995,27905,53%,5820,35902,7997
Sheffield Central,Paul Blomfield,Lab,89849,50913,27273,54%,6695,33968,3237
West Ham,Lyn Brown,Lab,97947,60200,32388,54%,9793,42181,4161
"Birmingham, Hall Green",Tahir Ali,Lab,80283,52911,28508,54%,7381,35889,3673
Brentwood and Ongar,Alex Burghart,Con,75255,52949,29065,55%,36308,7243,7187
Louth and Horncastle,Victoria Atkins,Con,79634,52332,28868,55%,38021,9153,4114
Manchester Central,Lucy Powell,Lab,92247,52289,29089,56%,7734,36823,3420
Rayleigh and Wickford,Mark Francois,Con,78930,54901,31000,56%,39864,8864,4171
